person,school_type,ps_sum
"[""person236""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person237""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person238""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person239""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person240""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person241""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person242""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person243""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person244""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person245""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person246"", ""person246""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.9179999999999999, 0.082]"
"[""person247""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person248""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person249""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person250""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person251""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person252""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person253""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person254""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person255""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person256""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person257""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person258""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person259""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person260""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person261""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person262""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person263""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person264""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person265""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person266"", ""person266""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.9, 0.1]"
"[""person267""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person268""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person269""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person270""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person271""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person272""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person273"", ""person273""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.614, 0.386]"
"[""person274""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person275""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person276""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person277""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person278""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person279""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person280"", ""person280""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.06, 0.94]"
"[""person281"", ""person281""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.654, 0.346]"
"[""person282""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person283""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person284""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person285""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person286"", ""person286""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.664, 0.336]"
"[""person287"", ""person287""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.64, 0.36]"
"[""person288"", ""person288""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.66, 0.34]"
"[""person289""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person290"", ""person290""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.22, 0.78]"
"[""person291""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person292""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person293""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person294""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person295""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person296""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person297"", ""person297""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.83, 0.17]"
"[""person298""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person299""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person300""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person301""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person302""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person303""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person304""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person305""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person306""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person307""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person308""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person309""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person310""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person311""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person312""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person313""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person314""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person315"", ""person315""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.030000000000000002, 0.97]"
"[""person316""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person317""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person318""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person319""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person320""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person321""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person322""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person323""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person324""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person325""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person326""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person327""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person328""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person329""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person330""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person331""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person332""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person333""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person334""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person335""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person336""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person337""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person338""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person339""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person340""]","Union{Missing, String}[""type 2""]",[1.0]
