person,school,ps
"[""person486"", ""person486""]","[7, 11]","[0.108, 0.892]"
"[""person487""]",[11],[1.0]
"[""person488""]",[9],[1.0]
"[""person489""]",[11],[1.0]
"[""person490""]",[7],[1.0]
"[""person491""]",[10],[1.0]
"[""person492"", ""person492""]","[6, 8]","[0.888, 0.112]"
"[""person493""]",[10],[1.0]
"[""person494"", ""person494"", ""person494"", ""person494"", ""person494"", ""person494""]","[8, 9, 10, 11, 14, 15]","[0.17, 0.162, 0.162, 0.168, 0.18, 0.158]"
"[""person495"", ""person495""]","[15, 16]","[0.62, 0.38]"
"[""person496""]",[7],[1.0]
"[""person497""]",[5],[1.0]
"[""person498""]",[11],[1.0]
"[""person499""]",[14],[1.0]
"[""person500""]",[9],[1.0]
"[""person501""]",[10],[1.0]
"[""person502"", ""person502"", ""person502"", ""person502"", ""person502"", ""person502"", ""person502""]","[3, 9, 10, 11, 12, 14, 15]","[0.844, 0.012, 0.01, 0.02, 0.08, 0.018, 0.016]"
"[""person503""]",[11],[1.0]
"[""person504"", ""person504"", ""person504"", ""person504"", ""person504""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person505""]",[8],[1.0]
"[""person506""]",[10],[1.0]
"[""person507"", ""person507"", ""person507"", ""person507"", ""person507"", ""person507""]","[3, 9, 10, 11, 14, 15]","[0.814, 0.026, 0.042, 0.046, 0.038, 0.034]"
"[""person508""]",[8],[1.0]
"[""person509""]",[9],[1.0]
"[""person510""]",[14],[1.0]
"[""person511""]",[15],[1.0]
"[""person512""]",[11],[1.0]
"[""person513""]",[11],[1.0]
"[""person514""]",[2],[1.0]
"[""person515"", ""person515""]","[7, 10]","[0.108, 0.892]"
"[""person516"", ""person516""]","[6, 16]","[0.634, 0.366]"
"[""person517""]",[9],[1.0]
"[""person518""]",[10],[1.0]
"[""person519"", ""person519"", ""person519"", ""person519"", ""person519"", ""person519""]","[8, 9, 10, 11, 14, 15]","[0.15, 0.162, 0.162, 0.176, 0.172, 0.178]"
"[""person520""]",[16],[1.0]
"[""person521"", ""person521"", ""person521"", ""person521"", ""person521""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person522""]",[14],[1.0]
"[""person523""]",[15],[1.0]
"[""person524""]",[4],[1.0]
"[""person525""]",[11],[1.0]
"[""person526"", ""person526""]","[2, 15]","[0.202, 0.798]"
"[""person527""]",[11],[1.0]
"[""person528""]",[7],[1.0]
"[""person529"", ""person529"", ""person529""]","[3, 7, 14]","[0.734, 0.126, 0.14]"
"[""person530"", ""person530"", ""person530"", ""person530"", ""person530"", ""person530"", ""person530"", ""person530""]","[2, 5, 8, 9, 10, 11, 14, 15]","[0.064, 0.188, 0.004, 0.148, 0.134, 0.142, 0.158, 0.162]"
"[""person531""]",[11],[1.0]
"[""person532"", ""person532"", ""person532"", ""person532"", ""person532"", ""person532""]","[9, 10, 11, 14, 15, 16]","[0.106, 0.116, 0.122, 0.14, 0.118, 0.398]"
"[""person533""]",[9],[1.0]
"[""person534""]",[10],[1.0]
"[""person535""]",[10],[1.0]
"[""person536""]",[11],[1.0]
"[""person537""]",[9],[1.0]
"[""person538""]",[4],[1.0]
"[""person539""]",[9],[1.0]
"[""person540""]",[13],[1.0]
"[""person541"", ""person541"", ""person541"", ""person541"", ""person541""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person542"", ""person542"", ""person542"", ""person542"", ""person542""]","[9, 10, 11, 14, 15]","[0.19, 0.188, 0.206, 0.22, 0.196]"
"[""person543""]",[11],[1.0]
"[""person544""]",[10],[1.0]
"[""person545""]",[16],[1.0]
"[""person546"", ""person546"", ""person546""]","[3, 4, 10]","[0.598, 0.252, 0.15]"
"[""person547""]",[15],[1.0]
"[""person548""]",[13],[1.0]
"[""person549""]",[15],[1.0]
"[""person550""]",[10],[1.0]
"[""person551"", ""person551""]","[3, 10]","[0.844, 0.156]"
"[""person552""]",[10],[1.0]
"[""person553""]",[11],[1.0]
"[""person554""]",[14],[1.0]
"[""person555"", ""person555""]","[13, 15]","[0.098, 0.902]"
"[""person556""]",[15],[1.0]
"[""person557""]",[10],[1.0]
"[""person558""]",[14],[1.0]
"[""person559""]",[11],[1.0]
"[""person560"", ""person560""]","[2, 9]","[0.236, 0.764]"
"[""person561"", ""person561"", ""person561"", ""person561"", ""person561"", ""person561""]","[3, 9, 10, 11, 14, 15]","[0.866, 0.02, 0.024, 0.022, 0.044, 0.024]"
"[""person562""]",[15],[1.0]
"[""person563""]",[14],[1.0]
"[""person564"", ""person564""]","[1, 15]","[0.678, 0.322]"
"[""person565""]",[11],[1.0]
"[""person566""]",[1],[1.0]
"[""person567""]",[15],[1.0]
"[""person568""]",[9],[1.0]
"[""person569"", ""person569""]","[7, 10]","[0.082, 0.918]"
"[""person570""]",[9],[1.0]
"[""person571""]",[9],[1.0]
